City,City,Cloudiness (%),Country,Humidity (%),Latitude,Temperature (F),Wind Speed (mph)
pitkyaranta,pitkyaranta,92,ru,100,61.57,32.52,6.62
utinga,utinga,75,br,88,-5.82,77.0,3.36
hornepayne,hornepayne,92,ca,97,49.22,37.34,12.21
resen,resen,0,mk,100,41.09,19.52,3.49
taua,taua,92,br,98,-3.62,73.65,2.59
glubokiy,glubokiy,64,ru,86,48.52,14.39,11.77
bhasawar,bhasawar,0,in,80,27.03,65.96,4.38
sontra,sontra,75,de,93,51.07,34.68,6.93
murmansk,murmansk,90,ru,84,68.97,3.2,2.24
muisne,muisne,100,ec,100,0.61,71.9,3.38
los algarrobos,los algarrobos,0,pa,100,8.5,71.67,5.95
bhainsa,bhainsa,0,in,80,26.95,65.96,4.38
melo,melo,44,uy,73,-32.37,66.32,11.54
alenquer,alenquer,68,br,97,-1.95,74.28,2.26
porto novo,porto novo,75,cv,77,17.02,69.8,20.8
yeroham,yeroham,100,il,100,30.99,47.6,9.75
vila franca do campo,vila franca do campo,75,pt,62,37.72,59.0,11.41
tuljapur,tuljapur,8,in,35,18.01,80.81,6.96
salgar,salgar,75,co,100,5.96,57.2,3.36
batavia,batavia,40,us,48,43.0,40.95,13.87
sertanopolis,sertanopolis,0,br,83,-23.06,69.8,9.17
sedkyrkeshch,sedkyrkeshch,40,ru,92,61.72,17.6,8.95
puerto quijarro,puerto quijarro,0,bo,94,-19.0,76.17,1.25
epernay,epernay,90,fr,100,45.45,38.66,3.36
vesoul,vesoul,90,fr,100,47.62,39.2,8.75
chishtian mandi,chishtian mandi,0,pk,100,29.8,59.21,4.61
port perry,port perry,90,ca,70,44.1,32.94,3.36
ihosy,ihosy,12,mg,79,-22.4,72.62,4.16
marathon,marathon,92,ca,96,48.72,37.88,18.14
suar,suar,0,in,94,29.03,59.66,4.05
